personId,name,birthYear,deathYear
1653,Jean-Pierre Léaud,1944,
34715,James Nesbitt,1965,
942,Ralf Möller,1959,
3639,Madeleine Sherwood,1922,
23430,Timur Bekmambetov,1961,
12249,Sessue Hayakawa,1889,1973
85505,Dan Payne,1972,
1181,Peter Gantzler,1958,
572,Hanno Pöschl,1949,
33722,Ray Danton,1931,1992
11365,Mark Feuerstein,1971,
54623,Georges Siatidis,1963,
2757,Nick Dennis,1904,1980
590591,Friedrich Fehér,1889,
1299514,Lee Je-hun,1984,
65607,Don King,1931,
35694,Jason Friedberg,1971,
12453,Wong Kar-Wai,1956,
12134,Sally Kirkland,1941,
41237,Fernando Allende,1952,
72129,Jennifer Lawrence,1990,
25819,Michele Placido,1946,
1214835,Natasha Leggero,1974,
1219574,Derk Cheetwood,1973,
45649,Paris Barclay,1956,
4941,Alessandro Nivola,1972,
117642,Jason Momoa,1979,
564389,John Robinson,1923,1999
6094,Hans-Christian Schmid,1965,
34537,Hugo Stanger,1901,1990
59017,Jurnee Smollett,1986,
1040850,Grégory Fitoussi,1976,
1099626,Benjamin Epps,,
41249,Tess Harper,1950,
18706,Meredith Salenger,1970,
22172,Murali K. Thalluri,,
67091,Tomorowo Taguchi,1957,
184217,Vincent Irizarry,1959,
46924,Alex Datcher,1962,
59750,Nikki DeLoach,1979,
62831,Will Forte,1970,
9879,Peter Burton,1921,
7911,Joe Ranft,1960,2005
96913,Ben Hammer,1925,
17759,Frank Faylen,1905,1985
78937,Joe Mantell,1920,2010
933182,Justin Price,1985,
137917,Jiang Wenli,1969,
44736,Goran Kostić,1971,
57350,Donovan Scott,1946,
15253,Stanley Anderson,1939,
90440,Ross Noble,1976,
126777,Michelle Chen,1983,
929851,Hiroshi Hamazaki,,
9012,Jonny Lee Miller,1972,
200507,John Findlater,1943,
43427,Sarah Thompson,1979,
15515,Robert Phalen,1937,
78690,Jeremy Slate,1926,2006
118,Geoffrey Rush,1951,
9221,Donald Pleasence,1919,1995
58708,Amelia Cooke,1979,
53364,India de Beaufort,1987,
16666,Kevin Connolly,1974,
14468,Brian Glover,1934,1997
200094,Dominic Comperatore,1969,
245796,Jonathan Ford,,
56953,Gene Quintano,,
34280,Spencer Charters,1875,1943
76449,Sanjay Gadhvi,,
158278,Patsy Smart,1918,1996
6125,Henrik Prip,1960,
70668,Danny Kaye,1913,1987
2096,Robert J. Wilke,1914,1989
202,Charlie Kaufman,1958,
19995,Marianne Faithfull,1946,
70131,Tatsuya Nakadai,1932,
222508,Michel Qissi,1962,
212,David Cross,1964,
33688,Conrad Roberts,1929,
93528,Letoya Luckett,1981,
3673,John Laurie,1897,1980
204,Kate Winslet,1975,
92175,Tahyna Tozzi,1986,
978,Steven Mackintosh,1967,
144590,Lee Jeong-Beom,1971,
9565,Louise Lasser,1939,
93624,Ray Teal,1902,1976
86268,Serinda Swan,1984,
52997,Rob Corddry,1971,
98527,Harold Ayer,1916,2003
18328,Ken Howard,1944,
29545,Claire Bloom,1931,
213087,Warwick Young,1973,
70254,Donald Gibb,1954,
154176,Chaz Lamar Shepherd,1977,
5644,Alexandra Maria Lara,1978,
5827,Hermione Baddeley,1906,1986
82795,Oleg Menshikov,1960,
23882,Amy Madigan,1950,
963451,Corey Flaspoler,1986,
155649,Joel Murray,1963,
166790,Robert Fortier,1936,2005
78896,Elizabeth Allen,1929,2006
57461,Simon Russell Beale,1961,
85096,Stephen Blackehart,1967,
82281,Chris Santos,1978,
83852,Liam James,1996,
26723,Katheryn Winnick,1977,
125718,Kelly Adams,1979,
308843,Rick Dial,1955,
234983,Gulliver McGrath,1998,
10412,Anne Jackson,1926,
18025,Ben Miller,1966,
15916,Fiorello,1960,
75620,Davenia McFadden,1961,
55314,Kimberly Elise,1967,
70262,Elliot Silverstein,1927,
569196,Zeke Norton,,
4318,Victor McGuire,1964,
80613,China Anne McClain,1998,
50096,Johnny Yong Bosch,1976,
23679,Billy West,1950,
171271,Roberta Wallach,1955,
41283,Geraldine Page,1924,1987
1164,F. Murray Abraham,1939,
37015,Vera Jordanova,1975,
144612,Fortunato Arena,1922,1994
18347,Tonea Stewart,1947,
9376,Belinda McClory,1968,
231199,Axelle Carolyn,1979,
11830,Cole Heppell,1993,
18182,Olga Kurylenko,1979,
